Key,English
zombiePartyGirlFeral,Feral Female Dark Seeker
zombiePartyGirlRadiated,Radiated Female Dark Seeker
zombieSkateboarder,Male Dark Seeker
zombieSkateboarderFeral,Feral Male Dark Seeker
zombieSkateboarderRadiated,Radiated Male Dark Seeker
zombieSoldier,Male Dark Seeker
zombieSoldierFeral,Feral Male Dark Seeker
zombieSoldierRadiated,Radiated Male Dark Seeker
zombieSpider,Dark Seeker Hunter
zombieSpiderFeral,Feral Dark Seeker Hunter
zombieSpiderRadiated,Radiated Dark Seeker Hunter
zombieSteve,Male Dark Seeker
zombieSteveCrawler,Dark Seeker Crawler
zombieSteveCrawlerFeral,Feral Dark Seeker Crawler
zombieSteveCrawlerRadiated,Radiated Dark Seeker Crawler
zombieSteveFeral,Feral Male Dark Seeker
zombieSteveRadiated,Radiated Male Dark Seeker
zombieTomClark,Male Dark Seeker
zombieTomClarkFeral,Feral Male Dark Seeker
zombieTomClarkRadiated,Radiated Male Dark Seeker
zombieUtilityWorker,Male Dark Seeker
zombieUtilityWorkerFeral,Feral Male Dark Seeker
zombieUtilityWorkerRadiated,Radiated Male Dark Seeker
zombieWight,Alpha Dark Seeker
zombieWightFeral,Feral Alpha Male Dark Seeker
zombieWightRadiated,Radiated Alpha Male Dark Seeker
zombieYo,Male Dark Seeker
zombieYoFeral,Feral Male Dark Seeker
zombieYoRadiated,Radiated Male Dark Seeker
